id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,anomaly,cluster
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,-0.35202072794859873,0.7000621672261043,-0.6755335924759451,0.21092843889816293,0.22452760009806844,-0.35228835065822617,-0.3520378760096042,0.3563771812870561,-0.46060026380190777,-1.4416732281894837,-0.4449863581127346,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.40440555312186915,-1.3813664957927403,2021-10-28T03:54:55.568Z,-0.7966327239357895,-0.27243787371565165,2020-11-28T11:26:25.838Z,None,2025-09-20T05:08:58.988Z,1,0
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,-0.3033882541049688,0.5242645231703769,-0.6408908441438455,0.07169577346590919,0.5316045846485898,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.6114623629509746,0.505713046381626,0.8141008708159422,-0.6894083802489533,-0.6790212592642562,0.9043797088775835,-0.3489524898558726,0.998811319876299,2025-08-14T00:40:22.976Z,-0.08265869060421843,-0.4767714079566893,2024-09-12T14:07:41.775Z,None,2025-09-20T05:09:03.878Z,1,2
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,-0.33635823244750074,0.4967186074748197,-0.6062480958117457,0.04998052226696532,-0.1758825202659344,-0.3369889111305387,-0.33626198819776204,0.35604867864208917,1.3177027004290518,0.8362387668360354,1.061089022880657,1.8557997523789689,0.9672095608742686,0.9043797088775835,-0.3974329136780393,1.0581555196987966,2024-08-05T14:21:42.527Z,0.3636006323833401,-0.5262981424531128,2024-12-05T22:30:39.827Z,None,2025-09-20T05:09:03.023Z,1,2
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,-0.28404482263084674,0.45386837975606265,-0.5716053474796459,0.016200434172277737,1.8404345833028586,-0.28120546974002125,-0.28395811650673825,-0.08145216880340747,-2.8527274181613147,0.07877612495149063,-2.3727430417604736,-0.11838810627007632,-0.3096875447057569,0.9043797088775835,-0.03927548124934797,-1.5961502654388486,2021-11-04T14:10:09.301Z,2.5282203965559833,-0.497665587145912,2020-08-20T05:48:11.359Z,None,2025-09-20T05:08:58.156Z,1,0
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,0.3252341120601236,0.3596595774437449,-0.5369625991475462,1.4545443925777095,-0.5816859337469655,0.31628903375097367,0.3309780998362574,-0.42790434834072355,0.5346711634895407,0.04804094350154053,0.4108775372213269,-0.6353680694304377,-0.6008815781771024,-1.1133466956453524,-0.05727300844908376,0.6780384409875514,2025-06-16T09:30:18.527Z,2.971534145964141,0.1535730788115453,2023-02-13T19:01:21.899Z,None,2025-09-20T05:09:01.027Z,1,2
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,-0.33322569293752147,0.3284253579762302,-0.5023198508154464,-0.08268996973406262,-0.6999181869119635,-0.3339838966503823,-0.3330390194589341,0.3564320851601179,1.3343810840088526,1.40548981146935,1.545586213533756,1.221326030618967,0.5568344006114905,0.9043797088775835,-0.39583903673046117,0.9864761341528159,2025-01-29T17:52:32.991Z,0.44957148266439884,-0.5198886342807725,2024-04-03T14:23:03.162Z,None,2025-09-20T05:08:53.983Z,1,2
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,-0.3485970799756873,0.2943364998509624,-0.46767710248334665,3.0211122317675807,-0.1758825202659344,-0.34868044622446825,-0.34858169065249667,0.35446572769085927,0.9450604806652447,0.35283762069658825,0.640521696565204,-0.09298586763149651,-0.25253506455737523,-1.0948488793561189,-0.4022056719390987,0.1691577789045714,2025-09-01T12:20:09.597Z,-0.5946589797748435,-0.5121549372019732,2025-09-04T14:17:54.961Z,None,2025-09-20T05:09:01.519Z,1,2
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,-0.20808073951384914,0.18121303449152637,-0.4330343541512469,0.5225135163090584,0.6533974883538018,-0.20844445923065066,-0.2079618796775318,0.025205031471296074,-0.2328693884820942,-0.5743905572684509,-0.23834374724787508,-0.46417365582633585,-0.43640537906900106,-1.113235263017104,-0.1060854899686625,-1.2146412005596254,2021-05-03T05:25:04.822Z,0.47173717013480676,-0.1172488032362605,2020-09-17T01:20:38.214Z,None,2025-09-20T05:09:00.506Z,1,0
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,4.277089330874486,0.16620967307634674,-0.3983916058191471,-0.21056933976269604,-0.45587744961348686,4.284586074424508,4.276607720712621,-4.403203332053068,0.6230623340059291,0.27763926360308555,0.5283349961024084,-0.6825108748477077,-0.6745599793288197,0.9043797088775835,3.1972908954263937,-0.17934358602114142,2018-01-09T00:00:00.000Z,-0.5304265117668465,-0.27243787371565165,2015-01-14T00:00:00.000Z,None,2025-09-20T05:08:56.399Z,-1,1
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,-0.3260208520645691,0.15054772000777047,-0.3637488574870474,0.7436007267458247,1.1935343782199925,-0.3255942623149203,-0.3260726977495902,0.22923430462674926,-1.9072475726632325,-2.1638069477426742,-1.6775392895246977,0.5308346020608155,0.8299592296891496,-1.1122659260369114,-0.39205357897996324,0.8723113856266382,2025-09-18T16:48:28.435Z,-0.41738027424068463,-0.3017501154142625,2023-10-18T02:50:46.942Z,None,2025-09-20T05:08:56.025Z,1,0
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,-0.33635871799112477,-0.051609191951805244,-0.32910610915494765,-0.38228232335823004,-0.5783961493096711,-0.33700416501114866,-0.33623032309908324,0.3565220354809057,1.3387896819321004,0.9494225733316473,1.1747352386393184,1.0303980035994822,0.4333428878827491,0.9043797088775835,-0.39630391750683813,0.6563365256328646,2020-03-13T03:02:50.373Z,0.2894367049615187,-0.5225394322863691,2023-03-11T07:50:50.514Z,None,2025-09-20T05:09:03.847Z,1,2
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,4.348197977751015,-0.05426178568240909,-0.2598206124907481,-0.3390733987490265,1.1937344140750958,4.355821696872885,4.354820514449346,0.26662803194425544,0.033351469535025054,-0.0849151729420026,0.022826973946278646,-0.6837168162738214,-0.6751536336754322,-1.1134180125274313,3.989979030688559,-0.4565023166397642,2021-05-18T21:19:59.514Z,-0.08265869060421843,0.01933346940640184,2020-11-05T09:20:11.928Z,None,2025-09-20T05:09:01.343Z,-1,1
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,-0.341636624172606,-0.05542242479364382,-0.2944633608228479,0.6714156431735667,1.8965712967074633,-0.3418398892265865,-0.3416546494980639,0.3263730166892569,-0.619778659259948,-0.6076689401372593,-0.5417217941712394,1.8948387865570595,2.9604193815916053,0.9043797088775835,-0.3943115713223655,-0.508471117261755,2024-04-11T13:15:15.057Z,-0.5564083917634096,-0.40461123971783225,2024-09-06T21:04:48.253Z,None,2025-09-20T05:08:54.213Z,1,0
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,-0.35202076131014454,-0.06429550297608659,-0.22517786415864838,-0.3922833134768716,2.1394464855971838,-0.35228838299645304,-0.35203790941628327,0.3563771976952888,-0.7390239260154203,-0.7134597013722133,-0.6674721880196439,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.4044059391721482,-0.6684461913615091,2024-12-09T16:30:35.828Z,-0.7966326561018481,-0.27243787371565165,2023-04-18T02:14:41.591Z,None,2025-09-20T05:08:57.673Z,1,0
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,2.662891721382163,-0.18711242284380353,-0.19053511582654864,-0.4891034844192444,-0.32325649265723416,2.6191673894322482,2.6586795037174937,-2.8037384240577983,0.6094407406988775,0.30347163107130687,0.36579243928330646,-0.6815530810296749,-0.6739404819751963,-1.113417083922196,1.292408708452139,0.45296582685573156,2025-08-22T01:50:26.131Z,-0.08165630895972334,-0.27243787371565165,2019-01-14T00:00:00.000Z,None,2025-09-20T05:08:57.130Z,1,1
